Sex,NumVics,Age1stKill,AgeLastKill,Age Group,# Male,# Female,Race of Victim,# White,# Black,# Hisp,#Asian,AgeKill,AgeSeries,,,,,,,
1,6,22,23,20,5,0,2,0,6,0,0,22,22,,,,,,,
1,2,29,30,20,1,1,1,2,0,0,0,29,29,,,,,,,
1,2,18,18,10,2,0,,,1,,,18,18,,,,,,,
1,2,24,39,20,2,0,1,2,0,0,0,24,24,,,,,,,
1,3,21,22,20,1,2,7,1,1,1,0,21,21,,,,,,,
1,2,24,26,20,0,2,1,2,0,0,0,24,24,,,,,,,
1,3,34,34,30,2,1,1,3,0,0,0,34,34,,,,,,,
1,3,24,26,20,2,1,1,3,0,0,0,24,24,,,,,,,
1,4,15,35,10,1,3,7,2,2,0,0,15,15,,,,,,,
1,4,41,44,40,2,2,1,4,0,0,0,41,41,,,,,,,
1,14,24,25,20,14,0,3,0,0,14,0,24,24,,,,,,,
1,7,49,55,40,0,7,1,7,0,0,0,49,49,,,,,,,
1,2,31,37,30,0,2,5,0,0,0,0,31,31,,,,,,,
1,4,16,29,10,3,1,7,1,1,,0,16,16,,,,,,,
1,5,19,20,10,4,1,7,2,2,1,0,19,19,,,,,,,
2,2,16,30,10,1,1,1,2,0,0,0,16,16,,,,,,,
1,4,44,45,40,1,3,1,4,0,0,0,44,44,,,,,,,
1,3,17,27,10,3,0,2,0,3,0,0,17,17,,,,,,,
1,7,26,46,20,1,6,7,5,1,0,0,26,26,,,,,,,
2,2,58,58,50,0,2,1,2,0,0,0,58,58,,,,,,,
1,10,25,25,20,7,3,1,9,0,0,0,25,25,,,,,,,
2,3,36,39,30,3,0,1,3,0,0,0,36,36,,,,,,,
2,8,22,23,20,,,,,,,,22,22,,,,,,,
1,9,20,30,20,,,1,,,,,,,,,,,,,
1,6,18,18,10,4,2,1,6,0,0,0,18,18,,,,,,,
1,4,22,22,20,4,0,3,0,0,4,0,22,22,,,,,,,
1,5,29,29,20,4,1,7,3,2,0,0,29,29,,,,,,,
1,2,53,53,50,0,2,2,0,2,0,0,53,53,,,,,,,
2,50,19,29,10,,,1,50,0,0,0,,,,,,,,,
1,3,20,21,20,0,3,7,2,0,1,0,20,20,,,,,,,
1,2,23,30,20,,,4,0,0,0,2,,,,,,,,,
1,2,18,34,10,1,1,3,0,0,2,0,18,18,,,,,,,
1,115,21,29,20,,,3,0,0,115,0,21,21,,,,,,,
1,3,33,36,30,0,3,1,3,0,0,0,33,33,,,,,,,
1,3,37,39,30,0,3,1,3,0,0,0,37,37,,,,,,,
1,6,35,54,30,3,3,1,6,0,0,0,35,35,,,,,,,
2,7,36,42,30,5,2,1,7,0,0,0,36,36,,,,,,,
1,2,15,16,10,1,1,1,2,0,0,0,15,15,,,,,,,
1,2,20,21,20,1,1,3,0,0,2,0,20,20,,,,,,,
1,4,30,30,30,0,4,1,4,0,0,0,30,30,,,,,,,
1,8,21,21,20,0,8,2,0,8,0,0,21,21,,,,,,,
1,4,21,21,20,3,1,1,4,0,0,0,21,21,,,,,,,
1,2,32,36,30,1,1,3,0,0,2,0,32,32,,,,,,,
1,3,17,21,10,0,3,1,3,0,0,0,17,17,,,,,,,
1,3,23,26,20,3,0,7,,1,1,,23,23,,,,,,,
1,6,18,26,10,0,6,7,2,3,,,18,18,,,,,,,
1,4,33,34,30,0,4,1,4,0,0,0,33,33,,,,,,,
1,3,21,29,20,0,2,1,2,,,,21,21,,,,,,,
1,2,24,36,20,1,1,7,0,1,1,0,24,24,,,,,,,
1,2,24,31,20,2,0,1,2,0,0,0,24,24,,,,,,,
1,3,19,29,10,0,3,1,3,0,0,0,19,19,,,,,,,
1,2,27,50,20,0,2,,,1,,0,27,27,,,,,,,
1,2,19,20,10,2,0,1,2,0,0,0,19,19,,,,,,,
1,2,28,32,20,0,2,7,1,0,0,0,28,28,,,,,,,
2,2,30,34,30,1,1,7,1,1,0,0,30,30,,,,,,,
1,2,22,22,20,2,0,1,2,0,0,0,22,22,,,,,,,
1,6,39,39,30,0,6,3,0,0,6,0,39,39,,,,,,,
1,2,35,40,30,1,1,1,2,0,0,0,35,35,,,,,,,
1,7,25,49,20,4,3,1,6,0,0,0,25,25,,,,,,,
1,8,48,49,40,1,7,3,0,0,8,0,48,48,,,,,,,
1,3,40,43,40,0,3,2,0,3,0,0,40,40,,,,,,,
1,2,28,48,20,0,2,1,2,0,0,0,,,,,,,,,
2,4,29,32,20,,,1,4,0,0,0,29,29,,,,,,,
1,3,48,51,40,,,4,0,0,0,3,48,48,,,,,,,
1,2,18,18,10,1,1,7,0,1,1,0,18,18,,,,,,,
1,4,23,23,20,0,4,1,2,0,0,0,23,23,,,,,,,
1,2,32,41,30,0,2,1,2,0,0,0,32,32,,,,,,,
1,2,16,18,10,2,0,7,1,1,0,0,16,16,,,,,,,
1,3,19,31,10,0,9,,,,0,0,19,19,,,,,,,
1,2,30,32,30,0,2,1,2,0,0,0,30,30,,,,,,,
1,11,30,31,30,0,9,3,0,0,9,0,30,30,,,,,,,
